event_id,event_type,event_time,vendor,order_id,transaction_id,tracking_id,amount,currency,status,region,ingested_at,quality_bucket,is_late_arrival,is_warning,is_critical,is_anomaly
36765df6fd80,refund_issued,2026-02-19T11:02:59Z,vendor_a,ORD-260219-00045,,,2500.0,NGN,,,2026-02-19T12:46:59Z,valid,False,False,False,False
6e21589aa233,refund_issued,2026-02-19T21:34:30Z,vendor_a,ORD-260219-00012,,,23.61,USD,,,2026-02-19T22:23:30Z,valid,False,False,False,False
eeafd75decd2,refund_issued,2026-02-12T04:10:33Z,vendor_c,ORD-260219-00065,,,19.27,USD,,,2026-02-19T20:10:33Z,warning,True,True,False,True
415df038ee10,refund_issued,2026-02-19T13:54:04Z,vendor_c,ORD-260219-00017,,,2500.0,NGN,,,2026-02-19T15:45:04Z,valid,False,False,False,False
575d573cb457,refund_issued,2026-02-19T22:04:01Z,vendor_a,ORD-260219-00022,,,73.86,USD,,,2026-02-19T23:59:01Z,valid,False,False,False,False
ba4934502e0a,refund_issued,2026-02-19T13:10:41Z,vendor_c,ORD-260219-00003,,,25000.0,NGN,,,2026-02-19T13:24:41Z,valid,False,False,False,False
6c572b450368,refund_issued,2026-02-19T08:19:31Z,vendor_c,ORD-260219-00042,,,2500.0,NGN,,,2026-02-19T08:37:31Z,valid,False,False,False,False
61111c724c9c,refund_issued,2026-02-19T16:49:57Z,vendor_a,ORD-260219-00011,,,27.96,USD,,,2026-02-19T18:11:57Z,valid,False,False,False,False
30a54e44d752,refund_issued,2026-02-19T11:59:16Z,vendor_c,ORD-260219-00058,,,1500.0,NGN,,,2026-02-19T13:37:16Z,valid,False,False,False,False
c39fbf7d1e1c,refund_issued,2026-02-14T07:24:09Z,vendor_b,ORD-260219-00056,,,18000.0,NGN,,,2026-02-19T14:24:09Z,warning,True,True,False,True
c0cfc6363e50,refund_issued,2026-02-19T08:00:12Z,vendor_b,ORD-260219-00015,,,4000.0,NGN,,,2026-02-19T09:45:12Z,valid,False,False,False,False
7bff120e109b,refund_issued,2026-02-19T12:18:34Z,vendor_a,ORD-260219-00054,,,10500.0,NGN,,,2026-02-19T13:39:34Z,valid,False,False,False,False
e0284cd16262,refund_issued,2026-02-19T12:52:49Z,vendor_c,ORD-260219-00002,,,6500.0,NGN,,,2026-02-19T13:08:49Z,valid,False,False,False,False
5362449869ce,refund_issued,2026-02-19T09:44:34Z,vendor_a,ORD-260219-00009,,,8000.0,NGN,,,2026-02-19T11:17:34Z,valid,False,False,False,False
55c2a8581180,refund_issued,2026-02-19T15:50:27Z,vendor_b,ORD-260219-00032,,,65000.0,NGN,,,2026-02-19T16:53:27Z,valid,False,False,False,False
b37b31c7c0d6,refund_issued,2026-02-19T16:59:50Z,vendor_a,ORD-260219-00038,,,2500.0,NGN,,,2026-02-19T18:09:50Z,valid,False,False,False,False
6774c98eb3c9,refund_issued,2026-02-19T07:57:03Z,vendor_b,ORD-260219-00021,,,2500.0,NGN,,,2026-02-19T09:25:03Z,valid,False,False,False,False
ee76b404fa87,refund_issued,2026-02-19T12:14:46Z,vendor_c,ORD-260219-00049,,,40000.0,NGN,,,2026-02-19T12:41:46Z,valid,False,False,False,False
4665dbff2bd3,refund_issued,2026-02-19T09:51:01Z,vendor_b,ORD-260219-00037,,,12000.0,NGN,,,2026-02-19T10:52:01Z,valid,False,False,False,False
0b0f27ae1c7a,refund_issued,2026-02-19T18:07:14Z,vendor_c,ORD-260219-00046,,,4000.0,NGN,,,2026-02-19T18:28:14Z,valid,False,False,False,False
262db24b52e6,refund_issued,2026-02-19T16:07:34Z,vendor_c,ORD-260219-00010,,,2500.0,NGN,,,2026-02-19T17:11:34Z,valid,False,False,False,False
b945cfb5b23d,refund_issued,2026-02-19T07:16:24Z,vendor_b,ORD-UNKNOWN-5481,,,9000.0,NGN,,,2026-02-19T07:37:24Z,valid,False,False,False,False
280735182026,refund_issued,2026-02-14T06:57:22Z,vendor_b,ORD-260219-00062,,,4.7,USD,,,2026-02-19T13:57:22Z,warning,True,True,False,True
2bc9c905c367,refund_issued,2026-02-19T02:30:11Z,vendor_b,ORD-260219-00054,,,4000.0,NGN,,,2026-02-19T03:49:11Z,valid,False,False,False,False
f45f936df2fe,refund_issued,2026-02-19T12:48:24Z,vendor_c,ORD-260219-00010,,,8000.0,NGN,,,2026-02-19T13:01:24Z,valid,False,False,False,False
cf94696eae7c,refund_issued,2026-02-19T09:56:00Z,vendor_b,ORD-260219-00011,,,9000.0,NGN,,,2026-02-19T10:13:00Z,valid,False,False,False,False
169b5719ff5e,refund_issued,2026-02-19T22:08:25Z,vendor_b,ORD-260219-00024,,,6500.0,NGN,,,2026-02-19T22:41:25Z,valid,False,False,False,False
67a73d0f34ed,refund_issued,2026-02-19T08:23:09Z,vendor_b,ORD-260219-00074,,,12000.0,NGN,,,2026-02-19T10:00:09Z,valid,False,False,False,False
bb9c907b8663,refund_issued,2026-02-19T03:44:36Z,vendor_a,ORD-260219-00026,,,4000.0,NGN,,,2026-02-19T05:18:36Z,valid,False,False,False,False
324117f3f942,refund_issued,2026-02-18T00:31:47Z,vendor_b,ORD-260219-00033,,,25000.0,NGN,,,2026-02-19T12:31:47Z,warning,True,True,False,True
3041e64f5f52,refund_issued,2026-02-19T12:07:20Z,vendor_c,ORD-260219-00057,,,18000.0,NGN,,,2026-02-19T13:13:20Z,valid,False,False,False,False
a8ee03038616,refund_issued,2026-02-19T15:49:11Z,vendor_c,ORD-260219-00045,,,4000.0,NGN,,,2026-02-19T17:32:11Z,valid,False,False,False,False
f89a3eee1c95,refund_issued,2026-02-13T01:01:18Z,vendor_a,ORD-260219-00042,,,2500.0,NGN,,,2026-02-19T04:01:18Z,warning,True,True,False,True
8137a437c718,refund_issued,2026-02-19T22:34:58Z,vendor_a,ORD-260219-00068,,,4000.0,NGN,,,2026-02-19T23:54:58Z,valid,False,False,False,False
1c24dcf33f0e,refund_issued,2026-02-19T07:39:26Z,vendor_c,ORD-260219-00030,,,10500.0,NGN,,,2026-02-19T08:24:26Z,valid,False,False,False,False
c75a37f7944a,refund_issued,2026-02-19T17:59:22Z,vendor_c,ORD-260219-00005,,,8000.0,NGN,,,2026-02-19T18:57:22Z,valid,False,False,False,False
fd7d5c3daa14,refund_issued,2026-02-19T07:15:39Z,vendor_b,ORD-UNKNOWN-9084,,,18000.0,NGN,,,2026-02-19T08:39:39Z,valid,False,False,False,False
662705014c06,refund_issued,2026-02-19T02:30:42Z,vendor_c,ORD-260219-00052,,,5000.0,NGN,,,2026-02-19T03:53:42Z,valid,False,False,False,False
685733ee2c0f,refund_issued,2026-02-19T10:05:47Z,vendor_c,ORD-260219-00060,,,13.53,USD,,,2026-02-19T11:50:47Z,valid,False,False,False,False
1740cc9a9e06,refund_issued,2026-02-19T09:50:37Z,vendor_b,ORD-260219-00027,,,12.23,USD,,,2026-02-19T11:31:37Z,valid,False,False,False,False
8760b5688e21,refund_issued,2026-02-19T17:26:55Z,vendor_b,ORD-UNKNOWN-8438,,,18000.0,NGN,,,2026-02-19T18:39:55Z,valid,False,False,False,False
1dfebd063ec5,refund_issued,2026-02-19T15:40:27Z,vendor_a,ORD-260219-00037,,,44.74,USD,,,2026-02-19T16:20:27Z,valid,False,False,False,False
d0e37e3dcb53,refund_issued,2026-02-19T10:29:44Z,vendor_b,ORD-260219-00035,,,2500.0,NGN,,,2026-02-19T12:11:44Z,valid,False,False,False,False
f8f59faec245,refund_issued,2026-02-19T02:18:52Z,vendor_a,ORD-260219-00063,,,25000.0,NGN,,,2026-02-19T03:56:52Z,valid,False,False,False,False
c54fff492462,refund_issued,2026-02-18T11:43:47Z,vendor_c,ORD-260219-00003,,,40000.0,NGN,,,2026-02-19T17:43:47Z,warning,True,True,False,True
441328f5c002,refund_issued,2026-02-17T08:14:51Z,vendor_a,ORD-260219-00045,,,2500.0,USD,,,2026-02-19T15:14:51Z,warning,True,True,False,True
696d4807754e,refund_issued,2026-02-19T19:13:55Z,vendor_b,ORD-260219-00022,,,6500.0,NGN,,,2026-02-19T21:02:55Z,valid,False,False,False,False
596f6afa838b,refund_issued,2026-02-19T17:18:27Z,vendor_a,ORD-260219-00008,,,4000.0,NGN,,,2026-02-19T18:44:27Z,valid,False,False,False,False
6ed11529fb95,refund_issued,2026-02-19T19:20:08Z,vendor_c,ORD-260219-00068,,,65000.0,NGN,,,2026-02-19T19:58:08Z,valid,False,False,False,False
